1 	対魔力/A	弱体耐性をアップ[20%]	1 																				
1 	騎乗/C	quickカードの性能をアップ[6%]	2 																				
2 	対魔力/A	弱体耐性をアップ[20%]	1 																				
2 	騎乗/B	quickカードの性能をアップ[8%]	2 					アイコン組み合わせ															
3 	対魔力/B	弱体耐性をアップ[17.5%]	1 					name	icon_id	explain	E-	E	E+	D	D+	C	C+	B	B+	A	A+	A++	EX
26 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
27 	対魔力/C	弱体耐性をアップ[15%]	1 																				
27 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
28 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
28 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
28 	神性/E	与ダメージプラス状態を付与[100]	13 																				
29 	対魔力/C	弱体耐性をアップ[15%]	1 																				
29 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
30 	対魔力/A	弱体耐性をアップ[20%]	1 																				
30 	騎乗/A++	quickカードの性能をアップ[11.5%]	2 																				
30 	神性/C	与ダメージプラス状態を付与[150]	13 																				
31 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
31 	道具作成/A	弱体付与成功率をアップ[10%]	5 																				
32 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
33 	陣地作成/D	Artsカードの性能をアップ[4%]	4 																				
33 	道具作成/C	弱体付与成功率をアップ[6%]	5 																				
34 	陣地作成/C	Artsカードの性能をアップ[6%]	4 																				
35 	陣地作成/C+	Artsカードの性能をアップ[7%]	4 																				
35 	道具作成/B	弱体付与成功率をアップ[8%]	5 																				
36 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
37 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
37 	道具作成/B	弱体付与成功率をアップ[8%]	5 																				
38 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
38 	神性/B	与ダメージプラス状態を付与[175]	13 																				
39 	気配遮断/D	スター発生率をアップ[4%]	6 																				
40 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
41 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
41 	対魔力/A	弱体耐性をアップ[20%]	1 																				
41 	女神の神核/EX	与ダメージプラス状態を付与＆弱体耐性アップ[300&30%]	13 																				
42 	気配遮断/B	スター発生率をアップ[8%]	6 																				
43 	気配遮断/D	スター発生率をアップ[4%]	6 																				
44 	気配遮断/A	スター発生率をアップ[10%]	6 																				
46 	気配遮断/D	スター発生率をアップ[4%]	6 																				
47 	狂化/B	Busterカードの性能をアップ[8%]	7 																				
47 	神性/A	与ダメージプラス状態を付与[200]	13 																				
48 	狂化/C	Busterカードの性能をアップ[6%]	7 																				
48 	対魔力/E	弱体耐性をアップ[10%]	1 																				
49 	狂化/A	Busterカードの性能をアップ[10%]	7 																				
50 	狂化/EX	Busterカードの性能をアップ[12%]	7 																				
51 	狂化/E	Busterカードの性能をアップ[2%]	7 																				
51 	神性/D	与ダメージプラス状態を付与[125]	13 																				
52 	狂化/EX	Busterカードの性能をアップ[12%]	7 																				
53 	狂化/B	Busterカードの性能をアップ[8%]	7 																				
54 	狂化/A+	Busterカードの性能をアップ[11%]	7 																				
55 	狂化/B	Busterカードの性能をアップ[8%]	7 																				
56 	狂化/EX	Busterカードの性能をアップ[12%]	7 																				
57 	狂化/B	Busterカードの性能をアップ[8%]	7 																				
58 	狂化/C	Busterカードの性能をアップ[6%]	7 																				
59 	対魔力/EX	弱体耐性をアップ[25%]	1 																				
60 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
60 	単独行動/A+	クリティカル威力をアップ[11%]	3 																				
61 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
61 	道具作成/A	弱体付与成功率をアップ[10%]	5 																				
62 	陣地作成/C	Artsカードの性能をアップ[6%]	4 																				
62 	神性/A	与ダメージプラス状態を付与[200]	13 																				
63 	対魔力/A	弱体耐性をアップ[20%]	1 																				
63 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
64 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
64 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
65 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
65 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
66 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
67 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
67 	道具作成/B	弱体付与成功率をアップ[8%]	5 																				
68 	対魔力/E	弱体耐性をアップ[10%]	1 																				
68 	騎乗/E	quickカードの性能をアップ[2%]	2 																				
69 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
69 	単独行動/B	クリティカル威力をアップ[8%]	3 																				
70 	対魔力/A	弱体耐性をアップ[20%]	1 																				
71 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
72 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
72 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
73 	対魔力/A	弱体耐性をアップ[20%]	1 																				
73 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
74 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
75 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
76 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
76 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
77 	対魔力/C	弱体耐性をアップ[15%]	1 																				
77 	単独行動/B	クリティカル威力をアップ[8%]	3 																				
78 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
78 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
79 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
79 	道具作成/EX	弱体付与成功率をアップ[12%]	5 																				
80 	道具作成(偽)/A	弱体付与成功率をアップ[10%]	5 																				
81 	気配遮断/A	スター発生率をアップ[10%]	6 																				
82 	狂化/D	Busterカードの性能をアップ[4%]	7 																				
84 	対魔力/C	弱体耐性をアップ[15%]	1 																				
84 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
84 	神性/B	与ダメージプラス状態を付与[175]	13 																				
85 	対魔力/C	弱体耐性をアップ[15%]	1 																				
85 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
85 	神性/A	与ダメージプラス状態を付与[200]	13 																				
86 	コスモリアクター/A	スター発生率をアップ[10%]	12 																				
86 	騎乗/EX	quickカードの性能をアップ[12%]	2 																				
87 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
87 	神性/D	与ダメージプラス状態を付与[125]	13 																				
88 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
88 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
88 	神性/E	与ダメージプラス状態を付与[100]	13 																				
89 	狂化/E	Busterカードの性能をアップ[2%]	7 																				
90 	対魔力/C	弱体耐性をアップ[15%]	1 																				
90 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
91 	対魔力/A	弱体耐性をアップ[20%]	1 																				
91 	単独顕現/C	クリティカル威力をアップ＆即死耐性をアップ＆精神異常耐性をアップ[6%&6%&6%]	3 																				
91 	根源接続/A	Buster・Arts・Quickカードの性能をアップ[]	13 																				
92 	気配遮断/C	スター発生率をアップ[6%]	6 																				
92 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
93 	対魔力/A	弱体耐性をアップ[20%]	1 																				
94 	対魔力/A	弱体耐性をアップ[20%]	1 																				
94 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
94 	単独行動/B	クリティカル威力をアップ[8%]	3 																				
95 	対魔力/E	弱体耐性をアップ[10%]	1 																				
95 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
95 	神性/B	与ダメージプラス状態を付与[175]	13 																				
96 	復讐者/A	被ダメージ時に獲得するNPをアップ＆自身を除く味方全体(控え含む)の弱体耐性をダウン[20%&10%]	8 																				
96 	忘却補正/B	クリティカル威力をアップ[8%]	9 																				
96 	自己回復(魔力)/D	毎ターンNP獲得状態を付与[3]	10 																				
97 	狂化/EX	Busterカードの性能をアップ[12%]	7 																				
98 	狂化/C	Busterカードの性能をアップ[6%]	7 																				
98 	神性/C	与ダメージプラス状態を付与[150]	13 																				
99 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
99 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
100 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
100 	道具作成/B	弱体付与成功率をアップ[8%]	5 																				
101 	対魔力/A	弱体耐性をアップ[20%]	1 																				
101 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
101 	神性/A	与ダメージプラス状態を付与[200]	13 																				
102 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
103 	陣地作成/D	Artsカードの性能をアップ[4%]	4 																				
103 	道具作成/D	弱体付与成功率をアップ[4%]	5 																				
104 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
104 	道具作成/C	弱体付与成功率をアップ[6%]	5 																				
105 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
105 	騎乗/C+	quickカードの性能をアップ[7%]	2 																				
106 	復讐者/B	被ダメージ時に獲得するNPをアップ＆自身を除く味方全体(控え含む)の弱体耐性をダウン[18%&8%]	8 																				
106 	忘却補正/A	クリティカル威力をアップ[10%]	9 																				
106 	自己回復(魔力)/A+	毎ターンNP獲得状態を付与[4]	10 																				
107 	復讐者/A	被ダメージ時に獲得するNPをアップ＆自身を除く味方全体(控え含む)の弱体耐性をダウン[20%&10%]	8 																				
107 	忘却補正/A	クリティカル威力をアップ[10%]	9 																				
107 	自己回復(魔力)/E	毎ターンNP獲得状態を付与[2]	10 																				
108 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
108 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
108 	神性/C	与ダメージプラス状態を付与[150]	13 																				
109 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
109 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
110 	気配遮断/A	スター発生率をアップ[10%]	6 																				
111 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
111 	女神の神核/C	与ダメージプラス状態を付与＆弱体耐性アップ[200&20%]	13 																				
112 	気配遮断/C	スター発生率をアップ[6%]	6 																				
112 	神性/C	与ダメージプラス状態を付与[150]	13 																				
113 	陣地作成/A+	Artsカードの性能をアップ[11%]	4 																				
113 	神性/D	与ダメージプラス状態を付与[125]	13 																				
114 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
114 	狂化/EX	Busterカードの性能をアップ[12%]	7 																				
114 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
114 	神性/C	与ダメージプラス状態を付与[150]	13 																				
115 	神性/C	与ダメージプラス状態を付与[150]	13 																				
116 	狂化/B	Busterカードの性能をアップ[8%]	7 																				
117 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
118 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
118 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
118 	神性/B	与ダメージプラス状態を付与[175]	13 																				
119 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
119 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
120 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
120 	道具作成/B+	弱体付与成功率をアップ[9%]	5 																				
120 	神性/B	与ダメージプラス状態を付与[175]	13 																				
121 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
121 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
122 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
122 	単独行動/B	クリティカル威力をアップ[8%]	3 																				
123 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
123 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
124 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
124 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
125 	対魔力/C	弱体耐性をアップ[15%]	1 																				
125 	単独行動/B	クリティカル威力をアップ[8%]	3 																				
126 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
126 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
127 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
127 	道具作成/A	弱体付与成功率をアップ[10%]	5 																				
128 	騎乗/A	quickカードの性能をアップ[10%]	2 																				
128 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
128 	神性/A++	与ダメージプラス状態を付与[230]	13 																				
129 	対魔力/A	弱体耐性をアップ[20%]	1 																				
129 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
129 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
130 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
130 	道具作成/D	弱体付与成功率をアップ[4%]	5 																				
131 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
131 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
132 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
132 	サーフィン/A	Artsカード性能＆スター発生率をアップ[5%&5%&5%]	15 																				
133 	気配遮断/E	スター発生率をアップ[2%]	6 																				
134 	狂化/EX	Busterカードの性能をアップ[12%]	7 																				
134 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
135 	対魔力/EX	弱体耐性をアップ[25%]	1 																				
136 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
136 	無限の魔力供給/C	毎ターンNP獲得状態を付与[3]	16 																				
137 	対魔力/C	弱体耐性をアップ[15%]	1 																				
137 	単独行動/B	クリティカル威力をアップ[8%]	3 																				
138 	対魔力/A	弱体耐性をアップ[20%]	1 																				
138 	陣地作成/C	Artsカードの性能をアップ[6%]	4 																				
138 	ダブルクラス/E	効果なし[-]	17 																				
139 	気配遮断/B	スター発生率をアップ[8%]	6 																				
139 	神性/D	与ダメージプラス状態を付与[125]	13 																				
140 	対魔力/C	弱体耐性をアップ[15%]	1 																				
141 	対魔力/A+	弱体耐性をアップ[]	1 																				
142 	対魔力/A	弱体耐性をアップ[20%]	1 																				
142 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
142 	女神の神核/B	与ダメージプラス状態を付与＆弱体耐性アップ[225&22.5%]	13 																				
143 	対魔力/A	弱体耐性をアップ[20%]	1 																				
144 	対魔力/A	弱体耐性をアップ[20%]	1 																				
144 	騎乗/EX	quickカードの性能をアップ[12%]	2 																				
144 	女神の神核/EX	与ダメージプラス状態を付与＆弱体耐性アップ[300&30%]	13 																				
145 	道具作成(偽)/A	弱体付与成功率をアップ[10%]	5 																				
145 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
145 	神性/B	与ダメージプラス状態を付与[175]	13 																				
146 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
146 	女神の神核/A	与ダメージプラス状態を付与＆弱体耐性アップ[250&25%]	13 																				
147 	復讐者/B	被ダメージ時に獲得するNPをアップ＆自身を除く味方全体(控え含む)の弱体耐性をダウン[18%&8%]	8 																				
147 	忘却補正/C	クリティカル威力をアップ[6%]	9 																				
147 	自己回復(魔力)/A	毎ターンNP獲得状態を付与[3.8]	10 																				
148 	対魔力/A	弱体耐性をアップ[20%]	1 																				
148 	狂化/E	Busterカードの性能をアップ[2%]	7 																				
150 	陣地作成/C	Artsカードの性能をアップ[6%]	4 																				
150 	道具作成/C	弱体付与成功率をアップ[6%]	5 																				
150 	混血/EX	毎ターンNP獲得状態を付与[5]	16 																				
153 	対魔力/A	弱体耐性をアップ[20%]	1 																				
154 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
154 	気配遮断/A	スター発生率をアップ[10%]	6 																				
154 	単独行動/B	クリティカル威力をアップ[8%]	3 																				
154 	境界にて/A	即死無効状態/魅了耐性を付与＆通常攻撃時に極めて低確率で即死効果が発生する状態を付与[100%&5%]	18 																				
155 	狂化/C	Busterカードの性能をアップ[6%]	7 																				
155 	オルトリアクター/A	弱体耐性をアップ[20%]	19 																				
156 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
156 	単独行動/A+	クリティカル威力をアップ[11%]	3 																				
157 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
157 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
158 	復讐者/A	被ダメージ時に獲得するNPをアップ＆自身を除く味方全体(控え含む)の弱体耐性をダウン[20%&10%]	8 																				
158 	忘却補正/B	クリティカル威力をアップ[8%]	9 																				
158 	自己回復(魔力)/B	毎ターンNP獲得状態を付与[3.5]	10 																				
159 	気配遮断/C	スター発生率をアップ[6%]	6 																				
159 	無頼漢/A	Qucikカード性能＆クリティカル威力をアップ[5%&5%]	20 																				
160 	対魔力/A	弱体耐性をアップ[20%]	1 																				
160 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
161 	狂化/D+	Busterカードの性能をアップ[5%]	7 																				
162 	狂化/E+	Busterカードの性能をアップ[3%]	7 																				
163 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
163 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
163 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
163 	女神の神核/B	与ダメージプラス状態を付与＆弱体耐性アップ[225&22.5%]	13 																				
163 	ハイ・サーヴァント/A	効果なし[-]	17 																				
164 	対魔力/C	弱体耐性をアップ[15%]	1 																				
164 	単独行動/C	クリティカル威力をアップ[6%]	3 																				
164 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
164 	女神の神核/C	与ダメージプラス状態を付与＆弱体耐性アップ[200&20%]	13 																				
164 	ハイ・サーヴァント/A	効果なし[-]	17 																				
165 	対魔力/A	弱体耐性をアップ[20%]	1 																				
165 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
165 	神性/A	与ダメージプラス状態を付与[200]	13 																				
166 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
166 	道具作成/A	弱体付与成功率をアップ[10%]	5 																				
166 	陣地作成/A	Artsカードの性能をアップ[10%]	4 																				
167 	獣の権能/D	クリティカル威力をアップ[8%]	20 																				
167 	単独顕現/E	クリティカル威力をアップ＆即死耐性をアップ＆精神異常耐性をアップ[2%&2%&2%]	3 																				
167 	ロゴスイーター/C	人型の敵からの攻撃に対する防御力をアップ[16%]	21 																				
167 	ネガ・セイヴァー/A	ルーラークラスへの特攻状態を付与[150%]	13 																				
169 	陣地作成/A++	Artsカードの性能をアップ[11.5%]	4 																				
170 	気配遮断/D	スター発生率をアップ[4%]	6 																				
171 	狂化/EX	Busterカードの性能をアップ[12%]	7 																				
171 	神性/B	与ダメージプラス状態を付与[175]	13 																				
172 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
172 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
173 	陣地作成/EX	Artsカードの性能をアップ[12%]	4 																				
174 	狂化/D	Busterカードの性能をアップ[4%]	7 																				
175 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
175 	陣地作成/A+	Artsカードの性能をアップ[11%]	4 																				
175 	道具作成(奇)/EX	自身のHP回復量をアップ[10%]	5 																				
176 	対魔力/E	弱体耐性をアップ[10%]	1 																				
176 	騎乗/EX	quickカードの性能をアップ[12%]	2 																				
176 	狂化/E	Busterカードの性能をアップ[2%]	7 																				
177 	気配遮断/A	スター発生率をアップ[10%]	6 																				
177 	神性/B+	与ダメージプラス状態を付与[185]	13 																				
178 	狂化/C	Busterカードの性能をアップ[6%]	7 																				
179 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
179 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
179 	単独行動/EX	クリティカル威力をアップ[12%]	3 																				
180 	対魔力/C	弱体耐性をアップ[15%]	1 																				
180 	単独行動/C	クリティカル威力をアップ[6%]	3 																				
181 	対魔力/C	弱体耐性をアップ[15%]	1 																				
181 	騎乗/A+	quickカードの性能をアップ[11%]	2 																				
181 	狂化/C	Busterカードの性能をアップ[6%]	7 																				
181 	神性/C	与ダメージプラス状態を付与[150]	13 																				
182 	騎乗/EX	quickカードの性能をアップ[12%]	2 																				
182 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
182 	女神の神核/B	与ダメージプラス状態を付与＆弱体耐性アップ[225&22.5%]	13 																				
183 	対魔力/A	弱体耐性をアップ[20%]	1 																				
183 	女神の神核/B	与ダメージプラス状態を付与＆弱体耐性アップ[225&22.5%]	13 																				
184 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
184 	単独行動/A	クリティカル威力をアップ[10%]	3 																				
184 	狂化/E	Busterカードの性能をアップ[2%]	7 																				
185 	気配遮断/A+	スター発生率をアップ[11%]	6 																				
186 	対魔力/D+	弱体耐性をアップ[]	1 																				
187 	対魔力/C	弱体耐性をアップ[15%]	1 																				
187 	騎乗/B	quickカードの性能をアップ[8%]	2 																				
188 	気配遮断/A	スター発生率をアップ[10%]	6 																				
189 	陣地作成/A+	Artsカードの性能をアップ[11%]	4 																				
189 	気配遮断(陰)/B	スター発生率をアップ&弱体耐性をダウン[デメリット][8%&10%]	6 																				
189 	神性/C	与ダメージプラス状態を付与[150]	13 																				
190 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
190 	道具作成/B	弱体付与成功率をアップ[8%]	5 																				
191 	対魔力/B	弱体耐性をアップ[17.5%]	1 																				
191 	道具作成/B	弱体付与成功率をアップ[8%]	5 																				
192 	陣地作成/B	Artsカードの性能をアップ[8%]	4 																				
192 	道具作成/A	弱体付与成功率をアップ[10%]	5 																				
193 	対魔力/A	弱体耐性をアップ[20%]	1 																				
194 	陣地作成/C	Artsカードの性能をアップ[6%]	4 																				
194 	対魔力/A	弱体耐性をアップ[20%]	1 																				
195 	領域外の生命/EX	自身に毎ターンスター獲得状態を付与&自身の弱体耐性をアップ[2&12%]	11 																				
195 	狂気/B	Busterカード性能をアップ[8%]	14 																				
195 	神性/B	与ダメージプラス状態を付与[175]	13 																				
196 	対魔力/D	弱体耐性をアップ[12.5%]	1 																				
196 	陣地作成/A+	Artsカードの性能をアップ[11%]	4 																				
196 	女神の神核/B	与ダメージプラス状態を付与＆弱体耐性アップ[225&22.5%]	13 																				
