13,皐月の王/B,8,自身に必中状態付与(1T)&自身に回避状態付与(1T)&スター獲得,x&x&10個,x&x&11個,x&x&12個,x&x&13個,x&x&14個,x&x&15個,x&x&16個,x&x&17個,x&x&18個,x&x&20個
14,アルカディア越え/A,7,味方全体のQuickカード性能をアップ（1T）,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
14,追い込みの美学/C,6,自身にスター集中状態を付与（1T）,500%,550%,600%,650%,700%,750%,800%,850%,900%,1000%
14,カリュドーン狩り/A,8,自身に回避状態を付与（1T）&NP獲得量をアップ(3T),30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
15,吸血/C,8,敵単体のチャージを中確率で減らす&自身のNPを増やす,60%&18%,64%&18.9%,66%&19.8%,68%&20.7%,70%&21.6%,70%&22.5%,72%&23.4%,74%&24.3%,76%&25.2%,80%&27%
15,魅惑の美声/A,9,敵単体〔異性〕に魅了状態を付与(1T),70%,73%,76%,79%,82%,85%,88%,91%,94%,100%
15,女神のきまぐれ/A,7,自身にアーツカード性能をアップ(3T),20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
16,頑健/EX,7,自身の防御力アップ(3T)&毒耐性アップ(3T),10%&80%,11%&88%,12%&96%,13%&104%,14%&112%,15%&120%,16%&128%,17%&136%,18%&144%,20%&160%
16,千里眼/A,8,自身のスター発生アップ(3T),20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
16,弓矢作成/A,8,自身のNPを増やす&自身のHPを回復,20&1000,21&1200,22&1400,23&1600,24&1800,25&2000,26&2200,27&2400,28&2600,30&3000
17,戦闘続行/A,9,自身にガッツ状態を付与(5T),"1,000","1,150","1,300","1,450","1,600","1,750","1,900","2,050","2,200","2,500"
17,矢避けの加護/B,7,自身に回避状態を付与(3回)&自身の防御力アップ(3T),x&8%,x&8.8%,x&9.6%,x&10.4%,x&11.2%,x&12%,x&12.8%,x&13.6%,x&14.4%,x&16%
17,仕切り直し/C,7,自身の弱体状態を解除&自身のHPを回復,x&500,x&600,x&700,x&800,x&900,x&1000,x&1100,x&1200,x&1300,x&1500
18,嗜虐のカリスマ/A,7,味方全体の攻撃力をアップ(3T)&自身を除く味方全体の[女性]の攻撃力をアップ(3T),10%&10％,11%&11％,12%&12％,13%&13％,14%&14％,15%&15％,16%&16％,17%&17％,18%&18％,20%&20％
18,拷問技術/A,7,敵単体の防御力をダウン(3T),10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
18,戦闘続行/B,9,自身にガッツ状態を付与(1回&4T),750,875,"1,000","1,125","1,250","1,375","1,500","1,625","1,750","2,000"
19,怨霊調伏/A,7,敵単体を確率でスキル封印状態にする(1T),50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
19,仁王立ち/B,7,自身にターゲット集中状態を付与(1T)&自身の防御力をアップ(1T),100%&30%,120%&33%,140%&36%,160%&39%,180%&42%,200%&45%,220%&48%,240%&51%,260%&54%,300%&60%
19,白紙の勧進帳/-,10,敵全体に宝具封印状態を付与(1T),60%,62%,64%,66%,68%,70%,72%,74%,76%,80%
20,ルーン魔術/B,7,自身のクリティカル威力アップ(3T)&自身の弱体耐性アップ(3T),18%&18%,20.7%&20.7%,23.4%&23.4%,26.1%&26.1%,28.8%&28.8%,31.5%&31.5%,34.2%&34.2%,36.9%&36.9%,39.6%&39.6%,45%&45%
20,矢避けの加護/B,7,自身に回避状態を付与(3回)&自身の防御力アップ(3T),x&8%,x&8.8%,x&9.6%,x&10.4%,x&11.2%,x&12%,x&12.8%,x&13.6%,x&14.4%,x&16%
20,獣殺し/B++,7,自身に[猛獣]特攻状態を付与(3T)&スター集中度アップ(3T),50%&200%,55%&230%,60%&260%,65%&290%,70%&320%,75%&350%,80%&380%,85%&410%,90%&440%,100%&500%
21,殿の矜持/A,8,自身にターゲット集中を付与(1T)&自身のNP獲得量アップ(3T),100%&50%,140%&55%,180%&60%,220%&65%,260%&70%,300%&75%,340%&80%,380%&85%,420%&90%,500%&100%
21,戦闘続行/A,9,自身にガッツ状態を付与(5T),"1,000","1,150","1,300","1,450","1,600","1,750","1,900","2,050","2,200","2,500"
21,戦士の雄叫び/B,7,味方全体のBuster性能をアップ(3T),15%,16%,17%,18%,19%,20%,21%,22%,23%,25%
22,天性の肉体/C,7,自身の攻撃弱体耐性アップ(3T)&自身のHP大回復,"50%&1,000","55%&1,150","60%&1,300","65%&1,450","70%&1,600","75%&1,750","80%&1,900","85%&2,050","90%&2,200","100%&2,500"
22,皇帝特権/EX,7,自身の攻撃力アップ確率60%(3T)&自身の防御力アップ確率60%(3T)&自身のHPを回復,"22%&22%&1,200","24.2%&24.2%&1,420","26.4%&26.4%&1,640","28.6%&28.6%&1,860","30.8%&30.8%&2,080","33%&33%&2,300","35.2%&35.2%&2,520","37.4%&37.4%&2,740","39.6%&39.6%&2,960","44%&44%&3,400"
22,七つの丘/A,9,味方単体にガッツ状態を付与(1T)&味方単体のBuster性能アップ(1T),100010%,100012%,100014%,100016%,100018%,100020%,100022%,100024%,100026%,100030%
23,魔眼/A+,8,敵単体を確率で行動不能状態にする(1T),50%,55%,60%,65%,70%,75%,80%,85%,90%,100%
23,怪力/B,7,自身の攻撃力アップ(2T),10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
23,鮮血神殿/B,8,自身のNPを増やす&自身のNP獲得量アップ(3T),20%&10％,20%&12％,20%&14％,20%&16％,20%&18％,20%&20％,20%&22％,20%&24％,20%&26％,20%&30％
24,守護騎士/A+,7,自身にターゲット集中状態を付与(3T)&自身の防御力アップ(3T),100%&20%,120%&22%,140%&24%,160%&26%,180%&28%,200%&30%,220%&32%,240%&34%,260%&36%,300%&40%
24,殉教者の魂/B+,7,自身の精神異常弱体耐性大アップ(3T)&自身のHPを回復,50%&750,55%&875,"60%&1,000","65%&1,125","70%&1,250","75%&1,350","80%&1,500","85%&1,625","90%&1,750","100%&2,000"
24,戦闘続行/A,9,自身にガッツ状態を付与(3T),"1,000","1,150","1,300","1,450","1,600","1,750","1,900","2,050","2,200","2,500"
25,嵐の航海者/A,7,味方全体の宝具威力アップ(1T)&味方全体の攻撃力アップ(1T),8%&8%,8.8%&8.8%,9.6%&9.6%,10.4%&10.4%,11.2%&11.2%,12%&12%,12.8%&12.8%,13.6%&13.6%,14.4%&14.4%,16%&16%
25,海賊の誉れ/B,7,自身の攻撃力アップ(1T)&ガッツ状態を付与(1回)&弱体耐性をダウン(3T),9%&150%,10.8%&150%,12.6%&150%,14.4%&150%,16.2%&150%,18%&150%,19.8%&150%,21.6%&150%,23.4%&150%,27%&150%
25,紳士的な愛/C,8,味方全体のHPを回復&味方全体の〔女性〕のHPを回復,1000&1000,1100&1100,1200&1200,1300&1300,1400&1400,1500&1500,1600&1600,1700&1700,1800&1800,2000&2000
26,女神への誓い/B,7,自身に〔ローマ〕特攻状態を付与(3T),40%,42%,44%,46%,48%,50%,52%,54%,56%,60%
26,戦闘続行/A,9,自身にガッツ状態を付与(5T),"1,000","1,150","1,300","1,450","1,600","1,750","1,900","2,050","2,200","2,500"
26,アンドラスタの加護/A,7,味方全体のアーツカード性能をアップ(3T),10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
27,天狗の兵法/A,7,味方全体のNP獲得量アップ(3T),10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
27,カリスマ/C+,7,味方全体の攻撃力アップ(3T),8.50%,9.40%,10.20%,11.10%,11.90%,12.80%,13.60%,14.50%,15.30%,17%
27,燕の早業/B,8,自身に回避付与(1T)&自身のスター発生率アップ(1T),x&50%,x&55%,x&60%,x&65%,x&70%,x&75%,x&80%,x&85%,x&90%,x&100%
28,カリスマ/C,7,味方全体の攻撃力をアップ(3T),8%,8.80%,9.60%,10.40%,11.20%,12%,12.80%,13.60%,14.40%,16%
28,紅顔の美少年/B,9,敵単体（人型）に魅了状態を付与する(1T),50%,53%,56%,59%,62%,65%,68%,71%,74%,80%
28,覇王の兆し/A,7,味方全体のクイックカードの性能をアップ(3T),10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
29,魅惑の美声/C,9,敵単体[異性]に確率で魅了付与(1T),50%,53%,56%,59%,62%,65%,68%,71%,74%,80%
29,麗しの姫君/A,8,自身に無敵状態を付与(3回)&毎ターンHP回復状態を付与(5T),x&200,x&240,x&280,x&320,x&360,x&400,x&440,x&480,x&520,x&600
29,神の恩寵/B,8,自身の精神弱体成功率アップ(3T)&HP大回復,"10%&1,000","12%&1,150","14%&1,300","16%&1,450","18%&1,600","20%&1,750","22%&1,900","24%&2,050","26%&2,200","30%&2,500"
30,信仰の加護/A,7,自身の弱体耐性アップ(3T)&自身のHPを回復,"50%&1,000","55%&1,150","60%&1,300","65%&1,450","70%&1,600","75%&1,750","80%&1,900","85%&2,050","90%&2,200","100%&2,500"
30,奇蹟/D+,8,味方全体のHPを回復&味方全体の弱体状態を解除,"1,000&x","1,100&x","1,200&x","1,300&x","1,400&x","1,500&x","1,600&x","1,700&x","1,800&x","2,000&x"
30,聖女の誓い/C,7,敵単体の強化状態を解除&敵単体の防御力をダウン(3T),x&10%,x&12%,x&14%,x&16%,x&18%,x&20%,x&22%,x&24%,x&26%,x&30%
31,高速神言/A,9,自身のNPをものすごく増やす,80,87,94,101,108,115,122,129,136,150
31,金羊の皮/-,6,皮を愛でて自身のHPを回復,500,700,900,"1,100","1,300","1,500","1,700","1,900","2,100","2,500"
31,キルケーの教え/A,8,味方単体の弱体状態を解除&味方単体のNP獲得量をアップ(1T),x&30%,x&32%,x&34%,x&36%,x&38%,x&40%,x&42%,x&44%,x&46%,x&50%
32,精神汚染/A,7,自身の精神弱体付与成功率アップ(3T)&自身の精神弱体耐性アップ(3T),5%&50%,7%%&55%,9%&60%,11%&65%,13%&70%,15%&75%,17%&80%,19%&85%,21%&90%,25%&100%
32,芸術審美/E-,7,敵単体[サーヴァント]の宝具威力ダウン(1T)&自身の精神弱体耐性アップ(3T),5.50%,6.10%,6.60%,7.20%,7.70%,8.30%,8.80%,9.40%,9.90%,11%
32,深淵の邪視/C,10,敵全体に恐怖状態を付与(5T),30%,31%,32%,33%,34%,35%,36%,37%,38%,40%
33,人間観察/A,7,味方全体のクリティカル威力アップ(3T),10%,13%,16%,19%,22%,25%,28%,31%,34%,40%
33,高速詠唱/E,8,自身のNPをすごく増やす,50,52.5,55,57.5,60,62.5,65,67.5,70,75
33,無辜の怪物/D,7,自身に毎ターンスター獲得状態を付与(3T)&防御力ダウン【デメリット】,3&14%,4&14%,5&14%,5&14%,6&14%,6&14%,7&14%,8&14%,8&14%,9&14%
34,エンチャント/A,7,味方全体のバスターカード性能をアップ(1T),20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
34,自己保存/B,8,自身に無敵状態を付与(1T)&HPを回復,x&500,x&600,x&700,x&800,x&900,x&1000,x&1100,x&1200,x&1300,x&1500
34,国王一座/C,8,味方単体のNP上昇&スター発生率をUP(1T),20%&50%,20%&55%,20%&60%,20%&65%,20%&70%,20%&75%,20%&80%,20%&85%,20%&90%,20%&100%
35,呪術/A,7,敵単体のチャージを中確率で減らす,60%,62%,64%,66%,68%,70%,72%,74%,76%,80%
35,無辜の怪物/B,7,自身に毎ターンスター獲得状態を付与(3T)&自身の防御力ダウン(3T)【デメリット】,318%,418%,518%,518%,618%,618%,718%,818%,818%,918%
35,道化の大笑/A+,8,敵単体に強化無効状態を付与(3回)&敵単体に呪い状態を付与(5T),x&500,x&550,x&600,x&650,x&700,x&750,x&800,x&850,x&900,x&1000
36,音楽神の加護（偽）/EX,7,味方全体のアーツカード性能をアップ(1T),22%,24.20%,26.40%,28.60%,30.80%,33%,35.20%,37.40%,39.60%,44%
36,芸術審美/B,7,敵単体(サーヴァント)の宝具威力ダウン(1T),9%,9.90%,10.80%,11.70%,12.60%,13.50%,14.40%,15.30%,16.20%,18%
36,小さな夜の曲/EX,8,スターを大量獲得,20,23,26,29,32,35,38,41,44,50
37,鑑識眼/A,7,味方単体のクリティカル威力アップ(3T)&味方単体のNPを増やす,20%&30%,23%&30％,26%&30％,29%&30％,32%&30%,35%&30%,38%&30％,41%&30％,44%&30％,50%&30%
37,軍師の忠言/A+,8,味方全体の防御力をアップ(3T)&味方全体に被ダメージカット状態を付与(3T)&味方全体のNPを少し増やす,20%&200&10％,21%&230&10％,22%&260&10％,23%&290&10％,24%&320&10％,25%&350&10％,26%&380&10％,27%&410&10％,28%&440&10％,30%&500&10％
37,軍師の指揮/A+,8,味方全体の攻撃力をアップ(3T)&味方全体に与ダメージプラス状態を付与(3T)&味方全体のNPを少し増やす,20%&200&10％,21%&230&10％,22%&260&10％,23%&290&10％,24%&320&10％,25%&350&10％,26%&380&10％,27%&410&10％,28%&440&10％,30%&500&10％
38,原初のルーン/-,7,自身のクリティカル威力アップ(3T)&自身の弱体耐性アップ(3T)&NPを増やす,20%&20%&20,23%&23%&21,26%&26%&22,29%&29%&23,32%&32%&24,35%&35%&25,38%&38%&26,41%&41%&27,44%&44%&28,50%&50%&30
38,矢避けの加護/A,7,自身に回避状態を付与(3回)&自身の防御力アップ(3T),x&9%,x&9.9%,x&10.8%,x&11.7%,x&12.6%,x&13.5%,x&14.4%,x&15.3%,x&16.2%,x&18%
38,仕切り直し/C,7,自身の弱体化状態を解除&自身のHPを回復,x&500,x&600,x&700,x&800,x&900,x&1000,x&1100,x&1200,x&1300,x&1500
39,心眼（偽）/A,8,自身に回避状態を付与(1T)&自身のクリティカル威力をアップ(3T),x&20%,x&22%,x&24%,x&26%,x&28%,x&30%,x&32%,x&34%,x&36%,x&40%
39,透化/B+,6,自身の精神弱体異常を解除&スターを大量獲得,x&5,x&6,x&7,x&8,x&9,x&10,x&11,x&12,x&13,x&15
39,宗和の心得/B++,7,自身に必中状態を付与(3T)&自身のスター発生率をアップ(3T)&自身のスター集中度をアップ(3T),x&30%&200％,x&36%&230％,x&42%&260％,x&48%&290％,x&54%&320％,x&60%&350％,x&66%&380％,x&72%&410％,x&78%&440％,x&90%&500％
40,投擲（短刀）/B,6,スターを獲得,3個,4個,5個,6個,7個,8個,9個,10個,11個,12個
40,自己改造/C,7,自身のクリティカル威力アップ(3T),20%,23%,26%,29%,32%,35%,38%,41%,44%,50%
40,風除けの加護/A,7,自身に回避を付与(3回)&自身のスター発生率アップ(3T),x&10%,x&12%,x&14%,x&16%,x&18%,x&20%,x&22%,x&24%,x&26%,x&30%
41,吸血/C,8,敵単体のチャージを中確率で減らす&自身のNPを増やす,60%&18%,62%&18.9%,64%&19.8%,66%&20.7%,68%&21.6%,70%&22.5%,72%&23.4%,74%&24.3%,78%&25.2%,80%&27%
41,魅惑の美声/A,9,敵単体[異性]に魅了付与(1T),70%,73%,76%,79%,82%,85%,88%,91%,94%,100%
41,女神のきまぐれ/A,7,味方全体の攻撃力アップ(3T)&[神性]特性の味方全体の攻撃力アップ(3T),10%&10%,11%&11%,12%&12%,13%&13%,14%&14%,15%&15%,16%&16%,17%&17%,18%&18%,20%&20%
42,抑制/A,7,自身にスター集中状態を付与(3T)&スターを大量獲得,200%&5,200%&6,200%&7,200%&8,200%&9,200%&10,200%&11,200%&12,200%&13,200%&15
42,プランニング/B,7,自身のスター発生率をアップ(3T),10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
42,傍若無人/A,7,自身のQuickカードの性能をアップ(1T)&自身のクリティカル威力アップ(1T),20%&30%,21%&32%,22%&34%,23%&36%,24%&38%,25%&40%,26%&42%,27%&44%,28%&46%,30%&50%
43,処刑人/A++,7,自身に〔悪〕特攻状態を付与(3T),40%,42%,44%,46%,48%,50%,52%,54%,56%,60%
43,医術/A+,7,味方単体のHPを大回復&弱体解除,"1,000&x","1,200&x","1,400&x","1,600&x","1,800&x","2,000&x","2,200&x","2,400&x","2,600&x","3,000&x"
43,人体研究/B,7,自身に〔人間〕特攻状態を付与(3T),40%,42%,44%,46%,48%,50%,52%,54%,56%,60%
44,無辜の怪物/D,7,自身に毎ターンスター獲得状態付与(3T)&防御力ダウン【デメリット】,3&14%,4&14%,5&14%,5&14%,6&14%,6&14%,7&14%,8&14%,8&14%,9&14%
44,魅惑の美声/B,9,敵単体[異性]に魅了付与(1T),60%,63%,66%,69%,72%,75%,78%,81%,84%,90%
44,精神汚染/A,7,自身の精神異常付与成功率アップ(3T)&精神異常耐性アップ(3T),5%&50%,7%&55%,9%&60%,11%&65%,13%&70%,15%&75%,17%&80%,19%&85%,21%&90%,25%&100%
45,諜報/A++,7,自身のスター発生率をアップ(3T),10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
45,フェロモン/B,8,敵全体[男性]に低確率で魅了付与(1T)&防御力ダウン(3T),30%&10%,33%&11%,36%&12%,39%&13%,42%&14%,45%&15%,48%&16%,51%&17%,54%&18%,60%&20%
45,ダブルクロス/B,8,敵単体にスキル封印状態を付与(1T)&防御力ダウン(3T),x&10%,x&11%,x&12%,x&13%,x&14%,x&15%,x&16%,x&17%,x&18%,x&20%
46,吸血/C,8,敵単体のチャージを中確率で減らす&自身のNPを増やす,60%&18％,62%&18.9％,64%&19.8％,66%&20.7％,68%&21.6％,70%&22.5％,72%&23.4％,74%&24.3％,76%&25.2％,80%&27％
46,拷問技術/A,7,敵単体の防御力をダウン(3T),10%,11%,12%,13%,14%,15%,16%,17%,18%,20%
46,鮮血の湯浴み/A,8,敵単体のクリティカル発生率ダウン(3T)&自身に毎ターンスター獲得状態付与(3T),30%&5,32%&6,34%&6,36%&7,38%&7,40%&8,42%&8,44%&9,46%&9,50%&10
47,勇猛/A+,7,自身の攻撃力をアップ(3T)&自身の精神弱体耐性をアップ(3T),10.5%&21％,12.6%&23.1％,14.6%&25.2％,16.7%&27.3％,18.7%&29.4％,20.8%&31.5％,22.8%&33.6％,24.9%&35.7％,26.9%&37.8％,31%&42％
47,心眼（偽）/B,8,自身に回避状態を付与(1T)&自身のクリティカル威力をアップ(3T),x&18%,x&19.8%,x&21.6%,x&23.4%,x&25.2%,x&27%,x&28.8%,x&30.6%,x&32.4%,x&36%
47,戦闘続行/A,9,自身にガッツ状態を付与(1回&5T),"1,000","1,150","1,300","1,450","1,600","1,750","1,900","2,050","2,200","2,500"
48,無窮の武練/A+,7,自身にスター集中状態を付与(3T),3000%,3300%,3600%,3900%,4200%,4500%,4800%,5100%,5400%,6000%
48,精霊の加護/A,7,自身のスター発生率をアップ(3T),10%,12%,14%,16%,18%,20%,22%,24%,26%,30%
48,魔力逆流/A,7,自身のNP獲得量をアップ(1T)&クリティカル威力をアップ(3T),50%&30%,55%&32%,60%&34%,65%&36%,70%&38%,75%&40%,80%&42%,85%&44%,90%&46%,100%&50%
49,勇猛/B,7,自身の攻撃力アップ(3T)&精神異常耐性アップ(3T),9%&18%,10.8%&19.8%,12.6%&21.6%,14.4%&23.4%,16.2%&25.2%,18%&27%,19.8%&28.8%,21.6%&30.6%,23.4%&32.4%,27%&36%
49,反骨の相/B,7,自身の防御力をアップ(3T)&攻撃強化成功率ダウン(3T)【デメリット】,15%&50%,16%&50%,17%&50%,18%&50%,19%&50%,20%&50%,21%&50%,22%&50%,23%&50%,25%&50%
49,乱世の梟雄/A,8,自身の宝具威力をアップ(1T)&スター集中度をアップ(1T)&味方全体(自身を除く)の防御力をダウン(1T)【デメリット】,"20%&3,000%&20%","21%&3,000%&20%","22%&3,000%&20%","23%&3,000%&20%","24%&3,000%&20%","25%&3,000%&20%","26%&3,000%&20%","27%&3,000%&20%","28%&3,000%&20%","30%&3,000%&20%"
50,被虐の誉れ/B+,9,自身に毎ターンHP回復を付与(5T),500,600,700,800,900,"1,000","1,100","1,200","1,300","1,500"
50,不屈の意志/A,9,自身にガッツ状態を付与(5T)&自身のNPを増やす,110%,112%,114%,116%,118%,120%,122%,124%,126%,130%
50,剣の凱旋/B,8,自身のバスターカード性能をアップ(1T)&自身のHPを回復,"20%&1,000","22%&1,100","24%&1,200","26%&1,300","28%&1,400","30%&1,500","32%&1,600","34%&1,700","36%&1,800","40%&2,000"
51,怪力/A+,7,自身の攻撃力アップ(1ターン),30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
51,動物会話/C,8,自身のNPを増やす,30,32,34,36,38,40,42,44,46,50
51,天性の肉体/A,7,自身の攻撃弱体耐性アップ(3ターン)&HP大回復,"60%&1,000","66%&1,200","72%&1,400","78%&1,600","84%&1,800","90%&2,000","96%&2,200","102%&2,400","108%&2,600","120%&3,000"
52,吸血/A,8,敵単体のチャージを高確率で減らす&自身のNPを増やす,80%&20%,82%&21%,84%&22%,86%&23%,88%&24%,90%&25%,92%&26%,94%&27%,96%&28%,100%&30%
52,鮮血の伝承/A+,7,自身の防御力をアップ(3T)&自身の攻撃力をアップ(3T),20%&20%,21%&21%,22%&22%,23%&23%,24%&24%,25%&25%,26%&26%,27%&27%,28%&28%,30%&30%
